n : 12 k : 7
1 2 3 4 5 6 7 
1 2 3 4 5 6 8 
1 3 4 5 6 7 8 
2 3 4 5 6 7 8 
2 3 4 5 6 7 9 
2 4 5 6 7 8 9 
3 4 5 6 7 8 9 
1 3 4 5 6 8 10 
1 3 5 6 7 8 10 
3 4 5 6 7 8 10 
3 5 6 7 8 9 10 
4 5 6 7 8 9 10 
1 2 3 4 5 6 11 
1 2 3 4 6 8 11 
1 3 4 5 6 8 11 
1 2 3 4 6 9 11 
1 2 4 6 7 9 11 
2 4 5 6 7 9 11 
1 2 4 6 8 9 11 
1 3 4 6 8 9 11 
1 4 6 7 8 9 11 
2 4 6 7 8 9 11 
4 5 6 7 8 9 11 
1 3 4 6 8 10 11 
1 3 5 6 8 10 11 
1 3 6 8 9 10 11 
1 4 6 8 9 10 11 
1 6 7 8 9 10 11 
4 6 7 8 9 10 11 
5 6 7 8 9 10 11 
1 2 3 4 5 6 12 
1 2 3 4 5 7 12 
2 3 4 5 6 7 12 
2 3 4 5 7 9 12 
2 4 5 6 7 9 12 
1 2 3 4 5 10 12 
1 2 3 5 7 10 12 
2 3 4 5 7 10 12 
1 2 3 5 8 10 12 
1 3 5 6 8 10 12 
1 3 5 7 8 10 12 
2 3 5 7 8 10 12 
3 5 6 7 8 10 12 
2 3 5 7 9 10 12 
2 4 5 7 9 10 12 
2 5 7 8 9 10 12 
3 5 7 8 9 10 12 
5 6 7 8 9 10 12 
1 2 3 4 5 11 12 
1 2 3 4 6 11 12 
1 2 3 4 9 11 12 
1 2 4 6 9 11 12 
1 2 4 7 9 11 12 
2 4 5 7 9 11 12 
2 4 6 7 9 11 12 
1 2 3 4 10 11 12 
1 2 3 5 10 11 12 
1 2 3 8 10 11 12 
1 3 5 8 10 11 12 
1 3 6 8 10 11 12 
1 2 3 9 10 11 12 
1 2 4 9 10 11 12 
1 2 7 9 10 11 12 
2 4 7 9 10 11 12 
2 5 7 9 10 11 12 
1 2 8 9 10 11 12 
1 3 8 9 10 11 12 
1 6 8 9 10 11 12 
1 7 8 9 10 11 12 
2 7 8 9 10 11 12 
5 7 8 9 10 11 12 
6 7 8 9 10 11 12 
